A,15-Aug-23,Jul-23,1.37,1.43,0.06,4.38
AA,19-Jul-23,Jun-23,-0.59,-0.35,0.24,40.68
AAL,20-Jul-23,Jun-23,1.58,1.92,0.34,21.52
AAN,31-Jul-23,Jun-23,0.18,0.39,0.21,116.67
AAON,3-Aug-23,Jun-23,0.42,0.55,0.13,30.95
AAP,23-Aug-23,Jun-23,1.72,1.43,-0.29,-16.86
AAPL,3-Aug-23,Jun-23,1.19,1.26,0.07,5.88
AAT,25-Jul-23,Jun-23,0.54,0.2,-0.34,-62.96
ABBV,27-Jul-23,Jun-23,2.79,2.91,0.12,4.3
ABCB,27-Jul-23,Jun-23,1.12,0.91,-0.21,-18.75
ABG,25-Jul-23,Jun-23,8.15,8.95,0.8,9.82
ABM,7-Sep-23,Jul-23,0.88,0.79,-0.09,-10.23
ABNB,3-Aug-23,Jun-23,0.77,0.98,0.21,27.27
ABR,28-Jul-23,Jun-23,0.47,0.57,0.1,21.28
ABT,20-Jul-23,Jun-23,1.04,1.08,0.04,3.85
ABUS,3-Aug-23,Jun-23,-0.12,-0.1,0.02,16.67
ACA,3-Aug-23,Jun-23,0.58,0.76,0.18,31.03
ACAD,2-Aug-23,Jun-23,-0.12,0.01,0.13,108.33
ACCD,29-Jun-23,May-23,-0.64,-0.52,0.12,18.75
ACCO,8-Aug-23,Jun-23,0.29,0.38,0.09,31.03
ACEL,3-Aug-23,Jun-23,0.16,0.23,0.07,43.75
ACET,9-Aug-23,Jun-23,-0.68,-0.75,-0.07,-10.29
ACGL,26-Jul-23,Jun-23,1.65,1.92,0.27,16.36
ACHC,27-Jul-23,Jun-23,0.83,0.92,0.09,10.84
ACHR,10-Aug-23,Jun-23,-0.32,-0.62,-0.3,-93.75
ACI,25-Jul-23,May-23,0.81,0.93,0.12,14.81
ACLS,2-Aug-23,Jun-23,1.46,1.86,0.4,27.4
ACLX,14-Aug-23,Jun-23,-0.68,-0.5,0.18,26.47
ACM,7-Aug-23,Jun-23,0.95,0.94,-0.01,-1.05
ACMR,4-Aug-23,Jun-23,0.1,0.48,0.38,380
AEO,6-Sep-23,Jul-23,0.15,0.25,0.1,66.67